ind,name,michelin_award,city,country,lat,lon,image,chef,cuisine1,url,url2,Hotel_Name,h_lat,h_lon
1811,Osteria del Povero Diavolo,ONE_STAR,Torriana,Italy,43.9858498,12.3851325,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/8682192a-a29f-4026-aeb1-60fbd65c01b2.jpg,Giuseppe Gasperoni,Modern Cuisine,https://guide.michelin.com/en/emilia-romagna/torriana/restaurant/osteria-del-povero-diavolo,https://guide.michelin.com/en/emilia-romagna/torriana/restaurant/osteria-del-povero-diavolo,Titan Suites Hotel San Marino,43.936016,12.4470462
1812,Osteria della Brughiera,ONE_STAR,Villa d'Almè,Italy,45.7393224,9.626508,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/45a5e1c096f04175855cb9c4eb2e14e5,Stefano Gelmi,Creative,https://guide.michelin.com/en/lombardia/villa-d-alm/restaurant/osteria-della-brughiera,https://guide.michelin.com/en/lombardia/villa-d-alm/restaurant/osteria-della-brughiera,Arli Hotel Business And Wellness,45.6934374,9.6699563
1813,Osteria di Passignano,ONE_STAR,Passignano,Italy,43.5768675,11.2458106,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/46fed3cb-fbd6-4494-9d2b-cf6c77ab56e6.jpg,,Modern Cuisine,https://guide.michelin.com/en/toscana/passignano/restaurant/osteria-di-passignano,https://guide.michelin.com/en/toscana/passignano/restaurant/osteria-di-passignano,Villa Prumiano,43.5246809,11.1983745
1814,Ostseelounge,ONE_STAR,Dierhagen,Germany,54.2879337,12.3245779,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/8359daa6c5664ba089ec249987df8b18,Pierre Nippkow,Modern Cuisine,https://guide.michelin.com/en/mecklenburg-vorpommern/dierhagen/restaurant/ostseelounge,https://guide.michelin.com/en/mecklenburg-vorpommern/dierhagen/restaurant/ostseelounge,Strandhotel Dünenmeer,54.282773,12.31248
1815,Otagi,TWO_STARS,Kyoto,Japan,35.050744,135.73416,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/c149420a-0139-409b-b4f1-293bad36a356.JPG,Kazuaki BABA,Japanese,https://guide.michelin.com/jp/en/kyoto-region/kyoto/restaurant/otagi,https://guide.michelin.com/en/kyoto-region/kyoto/restaurant/otagi,Fauchon Hotel Kyoto,34.9985195,135.7676839
1816,Oteque,TWO_STARS,Rio de Janeiro,Brazil,-22.95747,-43.194424,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/4852aacf422246888ea3a7b7470e13d1,Alberto Landgraf,Modern Cuisine,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oteque,https://guide.michelin.com/en/rio-de-janeiro-region/rio-de-janeiro/restaurant/oteque,JW Marriott Hotel Rio de Janeiro,-22.9722307,-43.1858418
1817,Otto Geleng,ONE_STAR,Taormina,Italy,37.852584,15.290778,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/4e8c478bb6d1477d82f74f76364f606d,Roberto Toro,Mediterranean Cuisine,https://guide.michelin.com/en/sicilia/taormina/restaurant/otto-geleng,https://guide.michelin.com/en/sicilia/taormina/restaurant/otto-geleng,"Villa Sant'Andrea, A Belmond Hotel, Taormina Mare",37.8541164,15.3028057
1818,Outlaw's Fish Kitchen,ONE_STAR,Port Isaac,United Kingdom,50.5920513,-4.8319372,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/0381398aad1641c7bfa7a87f87fefe53,,Seafood,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/outlaw-s-fish-kitchen,https://guide.michelin.com/en/cornwall/port-isaac/restaurant/outlaw-s-fish-kitchen,Penjoly Guest House,50.5245131,-4.951871
1819,Outlaw's New Road,ONE_STAR,Port Isaac,United Kingdom,50.5941265,-4.8286277,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/abee2092610b4e1a8c788e47903929c7,Nathan Outlaw,Seafood,https://guide.michelin.com/gb/en/cornwall/port-isaac/restaurant/restaurant-nathan-outlaw,https://guide.michelin.com/en/cornwall/port-isaac/restaurant/restaurant-nathan-outlaw,The Avalon Hotel,50.6649411,-4.753481
1820,Ox & Klee,TWO_STARS,Cologne,Germany,50.9274173,6.9657432,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/1e2a09199916445fb94be64ec2b07279,Daniel Gottschlich,Modern Cuisine,https://guide.michelin.com/en/nordrhein-westfalen/koln/restaurant/ox-klee,https://guide.michelin.com/en/nordrhein-westfalen/koln/restaurant/ox-klee,Hyatt Regency Cologne,50.9404298,6.9695295
1821,Oxalis,ONE_STAR,New York,United States,40.6729122,-73.9627166,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/b00dec66-e5d2-4a5a-9221-45aeeaaa5152.jpeg,Nico Russell,Contemporary,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/oxalis,https://guide.michelin.com/en/new-york-state/new-york/restaurant/oxalis,The Greenwich Hotel,40.719822,-74.0098607
1822,Oxomoco,ONE_STAR,New York,United States,40.7300224,-73.9555039,https://axwwgrkdco.cloudimg.io/v7/mitp-p-001-delivery.sitecorecontenthub.cloud/api/public/content/1235dbbefdc645d98ab303231f224b7d,Emilio Cerra,Mexican,https://guide.michelin.com/us/en/new-york-state/new-york/restaurant/oxomoco,https://guide.michelin.com/en/new-york-state/new-york/restaurant/oxomoco,Four Seasons Hotel New York Downtown,40.7126317,-74.0091904
1823,Oxte,ONE_STAR,Paris,France,48.8757794,2.2956526,https://axwwgrkdco.cloudimg.io/v7/mtp-cf-images.s3-eu-west-1.amazonaws.com/images/max/898b99bd-8187-4137-b672-56f0dc329a64.jpeg,Enrique Casarrubias,Mexican,https://guide.michelin.com/en/ile-de-france/paris/restaurant/oxte,https://guide.michelin.com/en/ile-de-france/paris/restaurant/oxte,Hôtel d'Aubusson,48.8547358,2.3395366
